,0,1,2,3,4
2dd87696-9869-43fa-97ba-52ea6d775f33,LEAGUE OF CONSERVATION VOTERS,LEAGUE OF CONSERVATION VOTERS,30000.00,2011-10-19T18:05:14.337000-04:00,2011
ed7ef0fd-c73c-4317-a653-fff56d912277,THE PENNSYLVANIA STATE UNIVERSITY,PENNSYLVANIA STATE UNIVERSITY,100000.00,2011-10-20T09:16:09.597000-04:00,2011
4b14cb2c-5c68-42ef-a04f-b52d13ac63e4,SIEMENS CORPORATION,SIEMENS CORPORATION,1254334.00,2011-10-20T09:42:45.207000-04:00,2011
c875ddaf-789d-46d1-a8ff-b6ab021d699c,INDEPENDENT PETROLEUM ASSOCIATION OF AMERICA,INDEPENDENT PETROLEUM ASSOCIATION OF AMERICA,275796.00,2011-10-20T09:55:44.783000-04:00,2011
3ed37e33-67e3-44ed-b679-5cfd9997ff45,SIERRA CLUB,SIERRA CLUB,100000.00,2011-10-20T16:46:04.487000-04:00,2011
e915027c-0dbf-41dc-a444-10255af65924,GENERAL ELECTRIC COMPANY (INCLUDING SUBSIDIARIES),GENERAL ELECTRIC COMPANY (INCLUDING SUBSIDIARIES),5650000.00,2011-10-20T17:02:55.220000-04:00,2011
fa479fc3-e4f6-46b1-b48c-ecb5b0c251d6,MWW GROUP,UNIVERSITY OF TULSA,,2011-10-20T17:38:50.143000-04:00,2011
e2e51047-f3f4-4429-b87f-c564b0be2db9,"J.P. MORGAN CHASE BANK, N.A.",J P MORGAN CHASE BANK N A,2450000.00,2011-10-20T17:46:48.703000-04:00,2011
62d4dabe-e607-44c2-ab07-954d16eddc0f,FUEL CELL AND HYDROGEN ENERGY ASSOCIATION,FUEL CELL AND HYDROGEN ENERGY ASSOCIATION,,2011-10-20T18:13:01.547000-04:00,2011
6bb82a2f-8ae2-4a76-938f-b2f097d3071f,"SIGNAL GROUP CONSULTING, LLC",EASTMAN CHEMICAL COMPANY,,2011-10-20T20:09:43.840000-04:00,2011
f4a7cad3-82b3-4e47-aa1c-2275c5d685c9,"SIGNAL GROUP CONSULTING, LLC",HONEYWELL INTERNATIONAL INC.,,2011-10-20T20:32:16.683000-04:00,2011
d512d189-b861-405b-96d7-016d7b206380,UNIVERSITY OF KENTUCKY,UNIVERSITY OF KENTUCKY,80000.00,2012-01-09T10:05:45-05:00,2010
bfd09e22-0a90-4032-90f4-d8fba8a61c32,TRANSPORTATION COMMUNICATIONS NATIONAL UNION/IAM (FKA TRANSPORTATION COMMUNICATI,TRANSPORTATION COMMUNICATIONS NATIONAL UNION/IAM (FKA TRANSPORTATION COMMUNICATI,,2012-01-17T10:50:01-05:00,2011
8d7499fc-4a59-47d1-b614-5d95a23d0ddd,TRANSPORTATION COMMUNICATIONS NATIONAL UNION/IAM (FKA TRANSPORTATION COMMUNICATI,TRANSPORTATION COMMUNICATIONS NATIONAL UNION/IAM (FKA TRANSPORTATION COMMUNICATI,211000.00,2012-01-17T10:57:17-05:00,2011
8b884f45-28a9-4cba-840d-77d631472879,TEMPLE-INLAND INC.,TEMPLE-INLAND INC,90000.00,2012-01-17T14:37:12-05:00,2011
f94d4204-86aa-4bcb-8b88-a6e7ae8d2b4b,AMERICAN CAPITOL GROUP,COLORADO SCHOOL OF MINES FOUNDATION,,2012-01-17T14:56:01-05:00,2011
27e02fc9-5277-4e35-b144-f27542d130a4,"PROGRESS ENERGY, INC.",PROGRESS ENERGY INC,370000.00,2012-01-18T08:36:10-05:00,2011
7e749852-a077-46cd-94b0-3cfe6b259253,INDEPENDENT PETROLEUM ASSOCIATION OF AMERICA,INDEPENDENT PETROLEUM ASSOCIATION OF AMERICA,312157.00,2012-01-18T15:01:18-05:00,2011
9e2ece49-8f04-49f0-8930-2a67278d4da9,"K&L GATES, LLP",ACCELERGY CORPORATION,,2012-01-19T10:28:51-05:00,2011
ca57432f-c64b-46b6-a2af-4470153cc889,AMERICAN CAPITOL GROUP,UNIVERSITY OF UTAH,,2012-01-19T14:40:16-05:00,2011
546374de-d9f1-440e-8e09-74bc313b4a21,SIEMENS CORPORATION,SIEMENS CORPORATION,1331066.00,2012-01-19T15:21:36-05:00,2011
7cb6305b-4ea9-4a64-ac33-a727fb565c7b,RAYTHEON TECHNOLOGIES CORPORATION AND AFFILIATES,RAYTHEON TECHNOLOGIES CORPORATION AND AFFILIATES,1500000.00,2012-01-19T16:24:01-05:00,2011
5c0647f8-5528-4b88-af24-0e1c25b14565,DENNY MILLER ASSOCIATES,RAMGEN POWER SYSTEMS,,2012-01-19T18:53:50.927000-05:00,2011
d784e620-f15d-49e1-a181-d81947ac2215,THE PENNSYLVANIA STATE UNIVERSITY,PENNSYLVANIA STATE UNIVERSITY,110000.00,2012-01-20T08:31:46.890000-05:00,2011
a3038cc3-b35c-4d74-83ef-45a3b00e4815,MWW GROUP,UNIVERSITY OF TULSA,,2012-01-20T13:31:46.947000-05:00,2011
9e71e411-fe31-48bb-b229-939de91ae032,CARNEGIE MELLON UNIVERSITY,CARNEGIE MELLON UNIVERSITY,85000.00,2012-01-20T14:27:21.447000-05:00,2011
e30da478-273f-4b70-934a-e656dc4d6b64,EDISON INTERNATIONAL,EDISON INTERNATIONAL,413000.00,2012-01-20T15:05:39.757000-05:00,2011
0e4fbaf1-54fb-4927-8147-7f770bd501de,"SIGNAL GROUP CONSULTING, LLC",EASTMAN CHEMICAL COMPANY,,2012-01-20T15:49:27.507000-05:00,2011
3e0a9988-2d70-4a94-a9ff-059a13108d20,"SIGNAL GROUP CONSULTING, LLC",HONEYWELL INTERNATIONAL INC.,,2012-01-20T16:09:32.863000-05:00,2011
b8f2dcdf-1c16-4683-aa94-2581a44fc954,LEAGUE OF CONSERVATION VOTERS,LEAGUE OF CONSERVATION VOTERS,30000.00,2012-01-20T16:12:44.240000-05:00,2011
2467a309-f1ca-4149-857b-ea2e4948550f,SIERRA CLUB,SIERRA CLUB,180000.00,2012-01-20T17:16:48.520000-05:00,2011
a674ae10-3490-4ef9-b2ed-351a07adefb5,GENERAL ELECTRIC COMPANY (INCLUDING SUBSIDIARIES),GENERAL ELECTRIC COMPANY (INCLUDING SUBSIDIARIES),5330000.00,2012-01-20T17:21:28.613000-05:00,2011
74849e52-5960-46c8-910e-b904166d2767,"J.P. MORGAN CHASE BANK, N.A.",J P MORGAN CHASE BANK N A,1820000.00,2012-01-20T18:33:23.987000-05:00,2011
5f954e98-52d9-485d-ad9c-689d708a6e23,GREYSTONE GROUP LLC,UNIVERSITY OF NORTH DAKOTA,,2012-01-20T19:47:11.500000-05:00,2011
2bea565d-f096-4fbc-a010-4b3b2c6769ba,UNIVERSITY OF PITTSBURGH,UNIVERSITY OF PITTSBURGH,100000.00,2012-03-27T09:01:11.137000-04:00,2011
18fd2b5f-b3b3-4992-9bb0-a109a9ead9dd,FIRSTENERGY CORP,FIRSTENERGY CORP,1240000.00,2012-04-11T12:28:36.353000-04:00,2012
3533ab7f-4252-4ae4-97ff-f69d16b5ca84,DENNY MILLER ASSOCIATES,RAMGEN POWER SYSTEMS,,2012-04-13T10:26:07.790000-04:00,2012
2d71d2dc-61c8-4bb2-ae8c-aa743aee0100,"PROGRESS ENERGY, INC.",PROGRESS ENERGY INC,820000.00,2012-04-18T09:57:03.213000-04:00,2012
1f2d4710-02a4-4623-8391-a25908717795,LEAGUE OF CONSERVATION VOTERS,LEAGUE OF CONSERVATION VOTERS,20000.00,2012-04-18T15:51:50.263000-04:00,2012
af03161d-b3af-4c2f-9cde-04e8f480c0b5,SIERRA CLUB,SIERRA CLUB,100000.00,2012-04-18T19:53:37.413000-04:00,2012
3d71c8f3-9837-4d02-b110-13b77169bc4d,TRANSPORTATION COMMUNICATIONS NATIONAL UNION/IAM (FKA TRANSPORTATION COMMUNICATI,TRANSPORTATION COMMUNICATIONS NATIONAL UNION/IAM (FKA TRANSPORTATION COMMUNICATI,230000.00,2012-04-19T09:32:01.717000-04:00,2012
62f30e2b-fea7-4d56-83a3-9a4d01a0f702,INDEPENDENT PETROLEUM ASSOCIATION OF AMERICA,INDEPENDENT PETROLEUM ASSOCIATION OF AMERICA,235570.00,2012-04-19T12:28:55.800000-04:00,2012
f0bfc243-7ebf-44c0-ad16-18940f51e584,"K&L GATES, LLP",ACCELERGY CORPORATION,,2012-04-19T15:02:19.293000-04:00,2012
5c8175e3-3e47-45e2-9303-c00381d9d8c6,CARNEGIE MELLON UNIVERSITY,CARNEGIE MELLON UNIVERSITY,85000.00,2012-04-19T15:55:54.420000-04:00,2012
b2934ae3-cca1-4a4a-9309-544cc73c321e,THE PENNSYLVANIA STATE UNIVERSITY,PENNSYLVANIA STATE UNIVERSITY,120000.00,2012-04-20T09:06:04.803000-04:00,2012
a0eefe36-5bc3-482f-adeb-f806b7d640dd,SIEMENS CORPORATION,SIEMENS CORPORATION,1396340.00,2012-04-20T12:11:47.403000-04:00,2012
0cc894bd-31b3-4d10-bc04-f6ccf60127ae,SIEMENS CORPORATION,SIEMENS CORPORATION,1396340.00,2012-04-20T12:13:15.200000-04:00,2012
07055318-5469-4b26-88e6-fe7fa70ba3d4,AMERICAN CAPITOL GROUP,UNIVERSITY OF UTAH,,2012-04-20T12:54:36.137000-04:00,2012
09c902a3-f93d-4d6f-af4e-c67f59c31d51,AMERICAN CAPITOL GROUP,COLORADO SCHOOL OF MINES FOUNDATION,,2012-04-20T13:00:30.403000-04:00,2012
a7fdceba-703a-4191-b2cf-8135cc977d05,"SIGNAL GROUP CONSULTING, LLC",EASTMAN CHEMICAL COMPANY,,2012-04-20T15:16:08.790000-04:00,2012
8a9c2480-f828-427f-ac6d-784dac792282,"SIGNAL GROUP CONSULTING, LLC",HONEYWELL INTERNATIONAL INC.,,2012-04-20T15:42:14.217000-04:00,2012
0337ea30-35c2-46dd-9146-78f06d5400b7,GENERAL ELECTRIC COMPANY (INCLUDING SUBSIDIARIES),GENERAL ELECTRIC COMPANY (INCLUDING SUBSIDIARIES),5470000.00,2012-04-20T16:03:07.587000-04:00,2012
775f1046-e9cc-4be6-941f-0a9ab1e7957d,"J.P. MORGAN CHASE BANK, N.A.",J P MORGAN CHASE BANK N A,1920000.00,2012-04-20T18:20:16.900000-04:00,2012
c7393479-d8c4-45a9-907d-4299bb813188,DENNY MILLER ASSOCIATES,RAMGEN POWER SYSTEMS,,2012-07-05T12:00:43.497000-04:00,2012
86312488-e87c-4c36-bcd3-caa9f35b586f,"PROGRESS ENERGY, INC.",PROGRESS ENERGY INC,330000.00,2012-07-09T16:49:00.793000-04:00,2012
47cffc78-31a3-4354-992f-2a252bb802bd,"J.P. MORGAN CHASE BANK, N.A.",J P MORGAN CHASE BANK N A,1920000.00,2012-07-11T18:45:21.543000-04:00,2012
