,0,1,2,3,4
ee52eb47-3799-4fe9-8354-0fec12023e94,WEYERHAEUSER COMPANY,WEYERHAEUSER COMPANY,410000.00,2011-01-19T18:09:14.420000-05:00,2010
35f988b0-17e1-4130-8fb4-b55fbd4ec889,"THE DOW CHEMICAL COMPANY, DBA DOW",DOW CHEMICAL COMPANY DBA DOW,1475000.00,2011-01-20T07:52:51.500000-05:00,2010
26c770cb-f047-40ed-8464-5cf1e7cc8a10,UNIVERSITY OF HOUSTON SYSTEM,UNIVERSITY OF HOUSTON SYSTEM,30000.00,2011-01-20T10:08:59.860000-05:00,2010
697de25f-e281-4401-957a-75b1e60d7570,THE ACCORD GROUP,RESEARCH CORPORATION FOR SCIENCE ADVANCEMENT,,2011-01-20T10:46:20.203000-05:00,2010
a794393d-e076-419e-9139-c578a9c4bf52,CAPITOL HILL CONSULTING GROUP,SOLARWORLD,,2011-01-20T10:46:26.077000-05:00,2010
688be03f-425d-462f-8492-079b18c740b1,"LEWIS-BURKE ASSOCIATES, LLC",UNIVERSITY OF HOUSTON SYSTEM,,2011-01-20T10:54:32.780000-05:00,2010
2c553496-c1bd-417b-bd57-9a4e7e8bf9a1,"APPLIED MATERIALS, INC","APPLIED MATERIALS, INC",300000.00,2011-01-20T11:05:50.360000-05:00,2010
73878fcc-e6ad-4ede-b5ec-cfbf07b2e4d0,SEMI (FKA SEMICONDUCTOR EQUIPMENT AND MATERIALS INTERNATIONAL),SEMI (FKA SEMICONDUCTOR EQUIPMENT AND MATERIALS INTERNATIONAL),100000.00,2011-01-20T11:29:19.483000-05:00,2010
4656d2ab-ad57-44e7-a72d-a514d63a2dc2,"K&L GATES, LLP","AGC AMERICA, INC. F/K/A KNOWN AS AGC FLAT GLASS NORTH AMRICA",,2011-01-20T12:27:47.653000-05:00,2010
413d20cc-e18a-49b0-ba94-e764135563bd,"K&L GATES, LLP",INFINIA CORPORATION,,2011-01-20T12:48:55.653000-05:00,2010
36b9b892-8db0-4b8f-a95b-268a878afd77,OGILVY GOVERNMENT RELATIONS,TDI-USA HOLDINGS CORP,,2011-01-20T13:14:36.887000-05:00,2010
11492361-a168-44c0-9d44-b0de3500a705,"WILLIAMS AND JENSEN, PLLC","TURNER ENTERPRISES, INC.",,2011-01-20T13:13:24.950000-05:00,2010
dc8dd53c-8867-4f7a-adc3-841417919ea9,NATIONAL GRID USA,NATIONAL GRID USA,960000.00,2011-01-20T14:26:51.233000-05:00,2010
54a6dae9-ece1-486a-a679-371bb541e5f8,"FRANKLIN SQUARE GROUP, LLC",APPLIED MATERIALS INC,,2011-01-20T14:38:31.290000-05:00,2010
8a03ab88-425d-4e7a-8d86-fe46374231bd,MR. RICHARD GOODSTEIN,"AIR PRODUCTS AND CHEMICALS, INC.",,2011-01-20T14:37:42.343000-05:00,2010
db53e3b8-91cf-4c65-af9f-4903a09ad09b,THE UNIVERSITY OF NORTH CAROLINA SYSTEM,THE UNIVERSITY OF NORTH CAROLINA SYSTEM,120000.00,2011-01-20T15:08:02.413000-05:00,2010
98f307f8-9ca0-4191-8c80-bb904925bfb0,"SIGNAL GROUP CONSULTING, LLC","APPLIED MATERIALS, INC.",,2011-01-20T15:08:37.883000-05:00,2010
6d4fdd24-3eaa-48e8-b8b9-509b647cfbfb,"KEARNEY, DONOVAN & MCGEE",NATIONAL GRID,,2011-01-20T15:19:04.070000-05:00,2010
19ee4531-f431-496b-ad47-c34b1f038160,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,54202.00,2011-01-20T15:55:41.460000-05:00,2010
2a2e1832-58b5-4cc4-89ab-5842f5914900,ALSTOM TRANSPORTATION INC.,ALSTOM TRANSPORTATION INC,410000.00,2011-01-20T15:55:49.350000-05:00,2010
e3b6451d-b1d4-4325-9ec5-86ec10aa4f39,BAYER CORPORATION (CONSOLIDATED REPORT),BAYER CORPORATION (CONSOLIDATED REPORT),933370.00,2011-01-20T16:19:22.337000-05:00,2010
29945c61-95ca-45b0-88f9-dae370d4aa25,SOLAR ENERGY INDUSTRIES ASSOCIATION,SOLAR ENERGY INDUSTRIES ASSOCIATION,540000.00,2011-01-20T16:20:33.427000-05:00,2010
e28340dd-97be-4891-832a-a9738e50be56,WINNING STRATEGIES WASHINGTON,MONTCLAIR STATE UNIVERSITY,,2011-01-20T16:27:51.240000-05:00,2010
438d5c9c-ada8-49e5-996e-c70f5f7d3d47,"SOLYNDRA, INC.","SOLYNDRA, INC.",210000.00,2011-01-20T16:29:09.163000-05:00,2010
05b25e8f-c422-48d1-8a64-e4ed7ca6fb39,GENERAL ELECTRIC COMPANY (INCLUDING SUBSIDIARIES),GENERAL ELECTRIC COMPANY (INCLUDING SUBSIDIARIES),7240000.00,2011-01-20T16:44:42.863000-05:00,2010
46f383da-e471-4a39-85d2-e04084e243b4,DOW LOHNES GOVERNMENT STRATEGIES LLC,ELECTRIC POWER SUPPLY ASSOCIATION,,2011-01-20T16:44:46.177000-05:00,2010
c22d884b-7d9c-437e-b64a-fdbdda2d8b47,DOW LOHNES GOVERNMENT STRATEGIES LLC,TENASKA INC,,2011-01-20T16:50:57.740000-05:00,2010
0321d6fb-b0e5-4d76-8aa8-6b6e3617376a,DOW LOHNES GOVERNMENT STRATEGIES LLC,NATIONAL GRID USA,,2011-01-20T16:52:23.693000-05:00,2010
1cee077e-97ef-47d3-8b16-f6bebb73cf3a,SC PARTNERS LLC,"FIRST SOLAR, INC.",,2011-01-20T17:01:37.647000-05:00,2010
69b2c44e-d8d4-45d4-ac54-fd0d15767cb1,NORTH CAROLINA STATE UNIVERSITY,NORTH CAROLINA STATE UNIVERSITY,30000.00,2011-01-20T17:06:50.427000-05:00,2010
a48e9fbe-f4e6-48a3-98e8-4c0d9193373a,SC PARTNERS LLC,NTR PLC,,2011-01-20T17:13:28.367000-05:00,2010
b72b66da-7df0-4f93-9ee1-6febb9157549,SC PARTNERS LLC,SOLAR ENERGY INDUSTRIES ASSOCIATION,,2011-01-20T17:17:16.957000-05:00,2010
2004adae-772e-4207-9cd8-9c6708b14cfc,SC PARTNERS LLC,STIRLING ENERGY SYSTEMS,,2011-01-20T17:18:45.567000-05:00,2010
5cd10032-5f67-4044-93f2-a1434d185a63,"SIGNAL GROUP CONSULTING, LLC","SOLARCITY, INC.",,2011-01-20T17:48:53.067000-05:00,2010
18e56067-4c56-48cf-85fd-619017fea5d3,"SIGNAL GROUP CONSULTING, LLC","SOLYNDRA, INC.",,2011-01-20T17:50:10.160000-05:00,2010
6c707d6e-ece7-44be-8431-56f56e850371,QGA PUBLIC AFFAIRS (FORMERLY QUINN GILLESPIE & ASSOCIATES),SATCON TECHNOLOGY CORPORATION,,2011-01-20T18:19:12.177000-05:00,2010
10874e9e-a42c-439d-b16a-4df677c25d8a,QGA PUBLIC AFFAIRS (FORMERLY QUINN GILLESPIE & ASSOCIATES),THE UMICORE GROUP,,2011-01-20T18:27:59.970000-05:00,2010
35eb78d3-03b5-412b-ae8a-0ad8f4353e94,SEMPRA ENERGY,SEMPRA ENERGY,220000.00,2011-01-20T18:47:31.550000-05:00,2010
0f338906-74b0-49fe-9aa5-bd39cdc08e0a,MCAPITOL MANAGEMENT,ROBERT BOSCH LLC,,2011-01-20T18:56:35.220000-05:00,2010
4fd8aee9-885f-48ff-a860-651ea3eac788,"BWX TECHNOLOGIES, INC.",BWX TECHNOLOGIES INC,230000.00,2011-01-20T19:03:12.673000-05:00,2010
283b8cae-7a17-4f2a-9cdb-43d01e1683bf,"NEXTERA ENERGY, INC.",NEXTERA ENERGY INC,1140000.00,2011-01-20T19:57:12.907000-05:00,2010
66ff2409-530b-43c3-b19b-71965f3d45ea,CAPITOL COUNSEL LLC,XCEL ENERGY,,2011-01-21T13:48:37.240000-05:00,2010
a0e06374-6aef-4a4e-aec6-70d89710963e,"THE DOW CHEMICAL COMPANY, DBA DOW",DOW CHEMICAL COMPANY DBA DOW,1500000.00,2011-01-25T10:00:33.923000-05:00,2010
5a7e623a-58df-4275-8b04-b0095f76df43,"TIM YEHL, LLC",PSEG SERVICES CORPORATION,,2011-02-01T21:56:09.357000-05:00,2010
