,0,1,2,3
6c4a4d01-012c-472e-a526-4e07df24bfa0,LEAGUE OF WOMEN VOTERS OF THE U.S.,89678.00,2016-04-13T13:12:31.697000-04:00,2016
0b423f2b-5481-4fad-929c-70067972d132,NETWORK LOBBY FOR CATHOLIC SOCIAL JUSTICE,95000.00,2016-04-20T12:48:16.620000-04:00,2016
de43a3d0-a337-4bb9-9df3-d6b6d8217154,AMERICAN CIVIL LIBERTIES UNION,300871.00,2016-04-20T16:18:10.340000-04:00,2016
1b617e2e-10a5-4b6c-8ed2-579e625f57df,"LIONEL ""LEO"" AGUIRRE",,2016-04-20T19:16:09.583000-04:00,2016
ad863322-4e30-4769-b818-06e56381d533,ANTI-DEFAMATION LEAGUE,40000.00,2016-05-08T16:05:40.567000-04:00,2016
5c0b35cd-47ef-4867-adef-070d60f3f7b6,"LIONEL ""LEO"" AGUIRRE",,2016-07-12T13:41:43.070000-04:00,2016
db914cdb-2196-4b35-93e6-940539d97cd5,NETWORK LOBBY FOR CATHOLIC SOCIAL JUSTICE,95000.00,2016-07-15T17:01:21.873000-04:00,2016
c818d9f8-c54d-40b5-96c6-5706ead82baa,LEAGUE OF WOMEN VOTERS OF THE U.S.,85206.37,2016-07-20T12:43:50.493000-04:00,2016
bc75cd76-5439-4623-bd09-19b11fde7fdb,ANTI-DEFAMATION LEAGUE,40000.00,2016-08-11T17:03:02.037000-04:00,2016
393b1580-b887-46df-a0d4-d0eff9534784,MEXICAN AMERICAN LEGAL DEFENSE AND EDUCATIONAL FUND,,2016-09-02T11:11:32.073000-04:00,2016
c2e7e338-1bc0-43d0-8541-f43a8c79aa0c,"LIONEL ""LEO"" AGUIRRE",,2016-10-19T17:34:19.267000-04:00,2016
2e082f73-2c36-41c3-8dd2-607826e44022,AMERICAN CIVIL LIBERTIES UNION,109156.00,2016-10-20T15:43:35.907000-04:00,2016
2c340c6c-20fc-48ef-a642-fd464c57a043,LEAGUE OF WOMEN VOTERS OF THE U.S.,19573.00,2016-10-25T11:14:46.453000-04:00,2016
4e69e9e7-a2b9-48aa-a7d2-f2fe0f5ee8eb,NETWORK LOBBY FOR CATHOLIC SOCIAL JUSTICE,95000.00,2016-10-25T16:22:19.600000-04:00,2016
3566bb65-4b20-4d9d-9e5d-4aa07d7fb482,ANTI-DEFAMATION LEAGUE,40000.00,2016-12-27T16:32:45.983000-05:00,2016
343e495e-2445-4e36-8f03-e6cd1dbeeb3f,"LIONEL ""LEO"" AGUIRRE",,2017-01-18T12:09:43-05:00,2016
1b9e9501-817b-4db6-8558-cdc76d908a01,AMERICAN CIVIL LIBERTIES UNION,240976.00,2017-01-23T14:41:36-05:00,2016
8b7c0dbb-9a5d-4716-af32-4a3539235706,"THE MITCHELL FIRM, INC.",,2017-01-23T17:30:47-05:00,2016
31565b31-ba5e-4922-8d0f-5bf08f5961de,LEAGUE OF WOMEN VOTERS OF THE U.S.,19573.00,2017-01-26T12:17:07.323000-05:00,2016
34151b12-dbc0-4d03-a3b9-3c44c7277c4d,ANTI-DEFAMATION LEAGUE,40000.00,2017-02-22T08:49:56.850000-05:00,2016
80ba065d-290e-49fd-88a4-0ead88318e57,NATIONAL ADVOCACY CENTER OF THE SISTERS OF THE GOOD SHEPHERD,,2017-03-29T18:58:39.163000-04:00,2017
8bfa4ec6-9876-415f-8203-da0c1da104fd,"LIONEL ""LEO"" AGUIRRE",,2017-04-08T15:29:41.340000-04:00,2017
60adb72e-e3ba-485c-8891-3a4be5798a26,AMERICAN COLLEGE OF PHYSICIANS,89122.00,2017-04-19T09:12:08.663000-04:00,2017
83fbce34-d0f8-4d1b-a95f-f431c69674e3,"AMERICAN COLLEGE OF PHYSICIAN SERVICES, INC.",243969.00,2017-04-19T09:27:46.633000-04:00,2017
9057e537-5ee4-481c-ae4c-040b80a3084d,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE,68750.00,2017-04-19T16:35:23.750000-04:00,2017
fb7694bb-356d-41b5-ab83-4df6b3a02465,UNIDOSUS (FKA NATIONAL COUNCIL OF LA RAZA),90000.00,2017-04-19T16:44:25.780000-04:00,2017
9d253921-d235-4f1b-9773-87f25a671cb0,"THE MITCHELL FIRM, INC.",,2017-04-19T22:46:59.387000-04:00,2017
